Village,Département,Région,Year,Placement,latitude,longitude
Ainhoa,Pyrénées-Atlantiques,Nouvelle-Aquitaine,2022,12,43.3067215,-1.4988117
Pino,Haute-Corse,Corse,2022,13,42.9080677,9.3518043
Port-Joinville,Vendée,Pays de la Loire,2022,14,46.7266141,-2.3508637
Esquelbecq,Nord,Hauts-de-France,2023,1,50.8862129,2.4309131
Lavoûte-Chilhac,Haute-Loire,Auvergne-Rhône-Alpes,2023,2,45.1476011,3.4024621
Lassay-les-Châteaux,Mayenne,Pays de la Loire,2023,3,48.4377412,-0.4966272
Druyes-les-Belles-Fontaines,Yonne,Bourgogne-Franche-Comté,2023,4,47.5479763,3.4209038
Hattonchâtel,Meuse,Grand Est,2023,5,48.9944072,5.6779041
Pontrieux,Côtes-d'Armor,Bretagne,2023,6,48.6972419,-3.1629787
Belcastel,Aveyron,Occitanie,2023,7,44.388512,2.3368093
Beaumont-en-Auge,Calvados,Normandie,2023,8,49.2782545,0.1109445
Beaulieu-lès-Loches,Indre-et-Loire,Centre-Val de Loire,2023,9,47.1277217,1.0121003
Belvès,Dordogne,Nouvelle-Aquitaine,2023,10,44.7460713,0.9751867
Entre-Deux,La Réunion,Outre-mer,2023,11,-21.2486585,55.4700859
Flagy,Seine-et-Marne,Île-de-France,2023,12,48.3130745,2.9214184
Saintes-Maries-de-la-Mer,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2023,13,43.4515922,4.4277202
Lumio,Haute-Corse,Corse,2023,14,42.5790571,8.833802
Collioure,Pyrénées-Orientales,Occitanie,2024,1,42.52505,3.0831554
Mers-les-Bains,Somme,Hauts-de-France,2024,2,50.0656442,1.3892492
Villeréal,Lot-et-Garonne,Nouvelle-Aquitaine,2024,3,44.6372843,0.742977
Deshaies,Guadeloupe,Outre-mer,2024,4,16.3061627,-61.7938974
Monthermé,Ardennes,Grand Est,2024,5,49.8843041,4.7391751
Sallertaine,Vendée,Pays de la Loire,2024,6,46.8594295,-1.9588101
Ry,Seine-Maritime,Normandie,2024,7,49.4711669,1.3431323
Gassin,Var,Provence-Alpes-Côte d'Azur,2024,8,43.2291533,6.585476
Île-Tudy,Finistère,Bretagne,2024,9,47.8427124,-4.1679541
Cléron,Doubs,Bourgogne-Franche-Comté,2024,10,47.087161,6.0587457
Grignan,Drôme,Auvergne-Rhône-Alpes,2024,11,44.4205,4.90993
Thomery,Seine-et-Marne,Île-de-France,2024,12,48.4090286,2.784838
Saint-Dyé-sur-Loire,Loir-et-Cher,Centre-Val de Loire,2024,13,47.65568,1.491863
Aregno,Haute-Corse,Corse,2024,14,42.5806925,8.8944264
Saint Antoine l'Abbaye,Isère,Auvergne-Rhône-Alpes,2025,1,45.1741,5.21699
Malestroit,Morbihan,Bretagne,2025,2,47.8099517,-2.3830664
Semur-en-Auxois,Côte-d'Or,Bourgogne-Franche-Comté,2025,3,47.4902149,4.3328705
Beaulieu-sur-Dordogne,Corrèze,Nouvelle-Aquitaine,2025,4,44.9782193,1.8377313
Clécy,Calvados,Normandie,2025,5,48.9161569,-0.4822435
Sierck-les-Bains,Moselle,Grand Est,2025,6,49.4424219,6.3600772
Grand'Rivière,Martinique,Outre-mer,2025,7,14.8470299,-61.1798513
Ferrières-en-Gâtinais,Loiret,Centre-Val de Loire,2025,8,48.0927506,2.7946987
Longpont,Aisne,Hauts-de-France,2025,9,49.2731771,3.2201765
Lupiac,Gers,Occitanie,2025,10,43.6818164,0.1816636
Fontevraud-l'Abbaye,Maine-et-Loire,Pays de la Loire,2025,11,47.1818252,0.0498617
Calcatoggio,Corse-du-Sud,Corse,2025,12,42.0306996,8.759428
Saorge,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2025,13,43.9883763,7.5518419
Rochefort-en-Yvelines,Yvelines,Île-de-France,2025,14,48.5872266,1.9878964
Bormes-les-Mimosas,Var,Provence-Alpes-Côte d'Azur,2026,1,43.1506968,6.3419285
Dambach-la-Ville,Bas-Rhin,Grand Est,2026,2,48.3236645,7.424953
Locquirec,Finistère,Bretagne,2026,3,48.68943,-3.6540861
Saulges,Mayenne,Pays de la Loire,2026,4,47.9825492,-0.4070595
Marcolès,Cantal,Auvergne-Rhône-Alpes,2026,5,44.7820842,2.3529563
Nolay,Côte-d'Or,Bourgogne-Franche-Comté,2026,6,46.9517254,4.6333364
Blangy-le-Château,Calvados,Normandie,2026,7,49.245,0.2744444
Saint-Martin-de-Londres,Hérault,Occitanie,2026,8,43.7914507,3.7329918
Chaumont-en-Vexin,Oise,Hauts-de-France,2026,9,49.2625682,1.8821405
La Ferté-Vidame,Eure-et-Loir,Centre-Val de Loire,2026,10,48.612001,0.9013882
La Flotte,Charente-Maritime,Nouvelle-Aquitaine,2026,11,46.1829137,-1.3183963
Vescovato,Haute-Corse,Corse,2026,12,42.5123149,9.4672475
Cacao,Guyane,Outre-mer,2026,13,4.5717259,-52.4702995
Dampierre-en-Yvelines,Yvelines,Île-de-France,2026,14,48.7050057,1.9856176
